Artists,Title,Quality,Transpose,Link,,,,,
Benson Boone,In the Stars,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1133659/Product.aspx,,,,,
Bette Midler,Wind Beneath My Wings,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94668/Product.aspx,,,,,
Billie Eilish,What Was I Made For (Barbie),★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1360554/Product.aspx,,,,,
Billie Eilish,BIRDS OF A FEATHER,★★★★,,https://musescore.com/user/39593079/scores/17254027,,,,,
Billie Eilish,Birds of a Feather,★★,,https://www.sheetmusicdirect.com/en-US/Search.aspx?query=Pop%20Piano,,,,,
Billie Holiday,Always,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16318/Product.aspx,,,,,
Billy Joel,Just the Way You Are,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18271/Product.aspx,,,,,
Billy Joel,Vienna,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/72899/Product.aspx,,,,,
Billy Joel,Lullabye (Goodnight My Angel),★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18283/Product.aspx,,,,,
Billy Joel,And So It Goes,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56313/Product.aspx,,,,,70s
Billy Joel,The Longest Time,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23364/Product.aspx,,,,,
Bing Crosby,Swinging on a Star,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94261/Product.aspx,,,,,90s
Blondie,Heart of Glass,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30073/Product.aspx,,,,,Gospel
Bob Crosby & The Bob Cats,Dear Hearts and Gentle People,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/97037/Product.aspx,,,,,
Bob Dylan,Knockin' On Heaven's Door,★★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/33378/Product.aspx,,,,,
Bobby Caldwell,What You Wont Do For Love,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27623/Product.aspx,,,,,
Bonnie Tyler,Holding Out for a Hero,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/86290/Product.aspx,,,,,
Bonnie Tyler,Total Eclipse of the Heart,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/33489/Product.aspx,,,,,
Boys II Men,End Of The Road,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16360/Product.aspx,,,,,
Boys Like Girls,The Great Escape,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/59300/Product.aspx,,,,,
Britney Spears,Everytime,★★★★,,PDF,,,,,
Britney Spears,Overprotected,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31321/Product.aspx,,,,,80s
Britney Spears,Toxic,★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/26639/Product.aspx,,,,,
Broken,Lovelytheband,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/402933/Product.aspx,,,,,
Bruce Hornsby,The Way It Is,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/74551/Product.aspx,,,,,
Bruno Mars,When I Was Your Man,★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/95337/Product.aspx,,,,,
Burke,Here's That Rainy Day,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/93594/Product.aspx,,,,,
"Burt Bacharach, Hal David",(They Long to Be) Close to You,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19647/Product.aspx,,,,,
Calum Scott,You Are the Reason,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/197640/Product.aspx,,,,,
Camila Cabello,Havana,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/187744/Product.aspx,,,,,
Carl Sigman,Crazy She Calls Me,★★★★,,https://www.scribd.com/read/269679525/Jazz-Ballads-Jazz-Piano-Solos-Series-Volume-10,,,,,
"Cécilia Cara, Damien Sargue",Aimer (Roméo Et Juliette),★,,https://musescore.com/user/36962362/scores/10981309,,,,,
Celeste,Isn’t It Strange,★★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/443220/Product.aspx,,,,,
Chandelier,Chandelier,★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/155055/Product.aspx,,,,,
Chappell Roan,Pink Pony Club,★★★★★,,https://musescore.com/user/39593079/scores/20184712,,,,,
Chappell Roan,Good Luck Babe,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1569656/Product.aspx,,,,,
Charlie Puth,We Don't Talk Anymore,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/174661/Product.aspx,,,,,
Charlie Puth,Attention,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/183667/Product.aspx,,,,,
Charlie Puth,Light Switch,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/572892/Product.aspx,,,,,
Cher,Believe,★★,,https://musescore.com/official_scores/scores/6951659,,,,,
Chicago,Hard to Say I'm Sorry,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16370/Product.aspx,,,,,
Chris Isaak,Wicked Game,★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/33803/Product.aspx,,,,,
Chris Stapleton,Cold,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/469688/Product.aspx,,,,,
Christina Aguilera,Hurt,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56469/Product.aspx,,,,,
"Christina Aguilera, A Great Big World",Say Something,,,https://www.sheetmucsicdirect.com/en-US/se/ID_No/151262/Product.aspx,,,,,
Christina Perri,Jar of Hearts,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/77596/Product.aspx,,,,,
Christopher Cross,Arthur's Theme,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92024/Product.aspx,,,,,
Claude-Michel Schönberg,Sun and Moon (Miss Saigon),★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29248/Product.aspx,,,,,
Coldplay,Fix You,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32247/Product.aspx,,,,,
Coldplay,Yellow,★★★,+2,https://www.sheetmusicdirect.com/en-US/se/ID_No/24125/Product.aspx,,,,,
Coldplay,A Sky Full of Stars,★,,https://musescore.com/official_author/scores/6921571,,,,,
Coldplay,Princess of China,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409496/Product.aspx,,,,,
Coldplay,Sparks,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403203/Product.aspx,,,,,
Coldplay,Trouble,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/15905/Product.aspx,,,,,
Cole Porter,Anything Goes,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/38789/Product.aspx\,,,,,
Commodores,Easy,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22261/Product.aspx,,,,,
Connie Francis,I Will Wait For You,★★★,,PDF,,,,,
Cranberries,Zombie,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/155258/Product.aspx,,,,,
Cutting Crew,(I Just) Died in Your Arms,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57395/Product.aspx,,,,,
Daft Punk,Within,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/116237/Product.aspx,,,,,
Daft Punk,Something About Us,★★,,https://musescore.com/user/4002676/scores/6784401,,,,,
Daft Punk,Get Lucky,,,https://musescore.com/official_scores/scores/6938008,,,,,
Daft Punk,Touch,,,https://musescore.com/official_scores/scores/6938180,,,,,
Daniel Bedingfield,If You're Not the One,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23393/Product.aspx,,,,,
Daniel Lévi,L'envie d'aimer,★★★★,,PDF,,,,,
"David Baerwald, ‎Kevin Gilbert‎",Come What May (Moulin Rouge!),★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/40416/Product.aspx,,,,,
David Bowie,Life on Mars?,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/38610/Product.aspx,,,,,
David Lanz,Lovers Waltz,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/482921/Product.aspx,,,,,
Death Cab for Cutie,I Will Follow You Into the Dark,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94211/Product.aspx,,,,,
Delphic,Doubt,★★,,https://musescore.com/user/39593079/scores/15396124,,,,,
Destiny's Child,Say My Name,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64549/Product.aspx,,,,,
Diana Ross & Lionel Ritchie,Endless Love,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16361/Product.aspx,,,,,
Dido,Thank You,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/27329/Product.aspx,,,,,
Dido,White Flag,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/25378/Product.aspx,,,,,
Dionne Warwick,Walk On By,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28402/Product.aspx,,,,,
Dolly Parton,Jolene,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67584/Product.aspx,,,,,
Don Henley,The Boys of Summer,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94838/Product.aspx,,,,,
Don McLean,"Vincent (Starry, Starry Night)",★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50824/Product.aspx,,,,,
Don't Speak,No Doubt,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50759/Product.aspx,,,,,
Donna Summer,Hot Stuff,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57433/Product.aspx,,,,,
Drake,Passionfruit,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/181497/Product.aspx,,,,,
Dua Lipa,Dance the Night (Barbie),,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1334924/Product.aspx,,,,,
Eagles,Hotel California,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/80404/Product.aspx,,,,,
Ed Sheeran,Perfect,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/180500/Product.aspx,,,,,
Electric Light Orchestra,Strange Magic,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23477/Product.aspx,,,,,
Electric Light Orchestra,Mr. Blue Sky,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/62966/Product.aspx,,,,,
