Title,Artists,Quality,Transpose,Link,,,,,
Boulevard of Broken Dreams,Green Day,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94658/Product.aspxx,,,,,70s
Breakfast in America,Supertramp,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23276/Product.aspx,,,,,
Bridge Over Troubled Water,Simon And Garfunkle,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/79896/Product.aspx,,,,,90s
Broken Vow,Josh Groban,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23420/Product.aspx,,,,,Gospel
Buddy Holly,Weezer,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16742/Product.aspx,,,,,
Calma,Farruko,,,https://musescore.com/user/31086979/scores/6421982,,,,,
Can You Feel the Love Tonight,Elton John,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16276/Product.aspx,,,,,
Careless Whisper,George Michael,★★★★,,PDF,,,,,
Chandelier,Chandelier,★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/155055/Product.aspx,,,,,
Charmaine,"Ernö Rapée, Lew Pollack",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158543/Product.aspx,,,,,
Cold,Chris Stapleton,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/469688/Product.aspx,,,,,
Cold Heart,"Elton John, PNAU",★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/501480/Product.aspx,,,,,
Cold Little Heart,Michael Kiwanuka,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/406539/Product.aspx,,,,,80s
Come Home,OneRepublic,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64965/Product.aspx,,,,,
Come Sail Away,Styx,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19908/Product.aspx,,,,,
Come What May (Moulin Rouge!),"David Baerwald, ‎Kevin Gilbert‎",★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/40416/Product.aspx,,,,,
Crawling,Linkin Park,,,https://musescore.com/user/24362951/scores/4515206,,,,,
Crazy,Gnarls Barkeley,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/55568/Product.aspx,,,,,
Crazy on You,Heart,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26398/Product.aspx,,,,,
